locatedIn swaziland southern_africa,neighborOf swaziland mozambique,neighborOf mozambique south_africa,locatedIn south_africa southern_africa,
locatedIn swaziland africa,neighborOf swaziland mozambique,neighborOf mozambique malawi,locatedIn malawi africa,
neighborOf swaziland south_africa,neighborOf swaziland south_africa,
neighborOf swaziland mozambique,neighborOf swaziland mozambique,
locatedIn uruguay south_america,neighborOf uruguay argentina,neighborOf argentina chile,locatedIn chile south_america,
locatedIn uruguay americas,neighborOf uruguay argentina,neighborOf argentina paraguay,locatedIn paraguay americas,
neighborOf uruguay argentina,neighborOf uruguay argentina,
neighborOf uruguay brazil,neighborOf uruguay brazil,
locatedIn zambia eastern_africa,neighborOf zambia tanzania,neighborOf tanzania uganda,locatedIn uganda eastern_africa,
locatedIn zambia africa,neighborOf zambia tanzania,neighborOf tanzania uganda,locatedIn uganda africa,
neighborOf zambia tanzania,neighborOf zambia zimbabwe,neighborOf zimbabwe mozambique,neighborOf mozambique tanzania,
neighborOf zambia mozambique,neighborOf zambia tanzania,neighborOf tanzania malawi,neighborOf malawi mozambique,
neighborOf zambia dr_congo,neighborOf zambia tanzania,neighborOf tanzania burundi,neighborOf burundi dr_congo,
neighborOf zambia angola,neighborOf zambia angola,
neighborOf zambia botswana,neighborOf zambia mozambique,neighborOf mozambique zimbabwe,neighborOf zimbabwe botswana,
neighborOf zambia zimbabwe,neighborOf zambia angola,neighborOf angola zambia,neighborOf zambia zimbabwe,
neighborOf zambia namibia,neighborOf zambia angola,neighborOf angola zambia,neighborOf zambia namibia,
neighborOf zambia malawi,neighborOf zambia mozambique,neighborOf mozambique tanzania,neighborOf tanzania malawi,
locatedIn cyprus europe,neighborOf cyprus united_kingdom,neighborOf united_kingdom ireland,locatedIn ireland europe,
neighborOf cyprus united_kingdom,neighborOf cyprus united_kingdom,
locatedIn ireland northern_europe,neighborOf ireland united_kingdom,neighborOf united_kingdom ireland,locatedIn ireland northern_europe,
locatedIn ireland europe,neighborOf ireland united_kingdom,neighborOf united_kingdom ireland,locatedIn ireland europe,
neighborOf ireland united_kingdom,neighborOf ireland united_kingdom,
locatedIn burundi eastern_africa,neighborOf burundi tanzania,neighborOf tanzania malawi,locatedIn malawi eastern_africa,
locatedIn burundi africa,neighborOf burundi tanzania,neighborOf tanzania malawi,locatedIn malawi africa,
neighborOf burundi dr_congo,neighborOf burundi dr_congo,
neighborOf burundi rwanda,neighborOf burundi dr_congo,neighborOf dr_congo tanzania,neighborOf tanzania rwanda,
neighborOf burundi tanzania,neighborOf burundi tanzania,
locatedIn central_african_republic middle_africa,neighborOf central_african_republic republic_of_the_congo,neighborOf republic_of_the_congo gabon,locatedIn gabon middle_africa,
locatedIn central_african_republic africa,neighborOf central_african_republic republic_of_the_congo,neighborOf republic_of_the_congo dr_congo,locatedIn dr_congo africa,
neighborOf central_african_republic chad,neighborOf central_african_republic chad,
neighborOf central_african_republic republic_of_the_congo,neighborOf central_african_republic republic_of_the_congo,
neighborOf central_african_republic dr_congo,neighborOf central_african_republic dr_congo,
neighborOf central_african_republic south_sudan,neighborOf central_african_republic republic_of_the_congo,neighborOf republic_of_the_congo dr_congo,neighborOf dr_congo south_sudan,
neighborOf central_african_republic cameroon,neighborOf central_african_republic republic_of_the_congo,neighborOf republic_of_the_congo gabon,neighborOf gabon cameroon,
neighborOf central_african_republic sudan,neighborOf central_african_republic dr_congo,neighborOf dr_congo south_sudan,neighborOf south_sudan sudan,
locatedIn ivory_coast western_africa,neighborOf ivory_coast liberia,neighborOf liberia sierra_leone,locatedIn sierra_leone western_africa,
locatedIn ivory_coast africa,neighborOf ivory_coast liberia,neighborOf liberia guinea,locatedIn guinea africa,
neighborOf ivory_coast burkina_faso,neighborOf ivory_coast burkina_faso,
neighborOf ivory_coast ghana,neighborOf ivory_coast burkina_faso,neighborOf burkina_faso togo,neighborOf togo ghana,
neighborOf ivory_coast liberia,neighborOf ivory_coast liberia,
neighborOf ivory_coast mali,neighborOf ivory_coast mali,
neighborOf ivory_coast guinea,neighborOf ivory_coast liberia,neighborOf liberia sierra_leone,neighborOf sierra_leone guinea,
locatedIn sierra_leone western_africa,neighborOf sierra_leone liberia,neighborOf liberia sierra_leone,locatedIn sierra_leone western_africa,
neighborOf sierra_leone liberia,neighborOf sierra_leone liberia,
neighborOf sierra_leone guinea,neighborOf sierra_leone liberia,neighborOf liberia sierra_leone,neighborOf sierra_leone guinea,
locatedIn poland eastern_europe,neighborOf poland lithuania,neighborOf lithuania belarus,locatedIn belarus eastern_europe,
neighborOf poland germany,neighborOf poland germany,
neighborOf poland ukraine,neighborOf poland lithuania,neighborOf lithuania belarus,neighborOf belarus ukraine,
neighborOf poland belarus,neighborOf poland lithuania,neighborOf lithuania latvia,neighborOf latvia belarus,
neighborOf poland russia,neighborOf poland lithuania,neighborOf lithuania latvia,neighborOf latvia russia,
neighborOf poland lithuania,neighborOf poland lithuania,
locatedIn kazakhstan central_asia,neighborOf kazakhstan uzbekistan,neighborOf uzbekistan turkmenistan,locatedIn turkmenistan central_asia,
locatedIn kazakhstan asia,neighborOf kazakhstan uzbekistan,neighborOf uzbekistan tajikistan,locatedIn tajikistan asia,
neighborOf kazakhstan turkmenistan,neighborOf kazakhstan turkmenistan,
neighborOf kazakhstan china,neighborOf kazakhstan turkmenistan,neighborOf turkmenistan afghanistan,neighborOf afghanistan china,
neighborOf kazakhstan kyrgyzstan,neighborOf kazakhstan uzbekistan,neighborOf uzbekistan tajikistan,neighborOf tajikistan kyrgyzstan,
neighborOf kazakhstan uzbekistan,neighborOf kazakhstan uzbekistan,
neighborOf kazakhstan russia,neighborOf kazakhstan russia,
locatedIn uzbekistan central_asia,neighborOf uzbekistan afghanistan,neighborOf afghanistan turkmenistan,locatedIn turkmenistan central_asia,
locatedIn uzbekistan asia,neighborOf uzbekistan afghanistan,neighborOf afghanistan tajikistan,locatedIn tajikistan asia,
neighborOf uzbekistan afghanistan,neighborOf uzbekistan afghanistan,
neighborOf uzbekistan turkmenistan,neighborOf uzbekistan turkmenistan,
neighborOf uzbekistan kazakhstan,neighborOf uzbekistan afghanistan,neighborOf afghanistan turkmenistan,neighborOf turkmenistan kazakhstan,
neighborOf uzbekistan kyrgyzstan,neighborOf uzbekistan afghanistan,neighborOf afghanistan tajikistan,neighborOf tajikistan kyrgyzstan,
neighborOf uzbekistan tajikistan,neighborOf uzbekistan turkmenistan,neighborOf turkmenistan afghanistan,neighborOf afghanistan tajikistan,
locatedIn pakistan southern_asia,neighborOf pakistan india,neighborOf india nepal,locatedIn nepal southern_asia,
neighborOf pakistan china,neighborOf pakistan india,neighborOf india nepal,neighborOf nepal china,
neighborOf pakistan afghanistan,neighborOf pakistan afghanistan,
neighborOf pakistan iran,neighborOf pakistan afghanistan,neighborOf afghanistan turkmenistan,neighborOf turkmenistan iran,
neighborOf pakistan india,neighborOf pakistan india,
locatedIn argentina south_america,neighborOf argentina bolivia,neighborOf bolivia chile,locatedIn chile south_america,
locatedIn argentina americas,neighborOf argentina bolivia,neighborOf bolivia argentina,locatedIn argentina americas,
neighborOf argentina bolivia,neighborOf argentina bolivia,
neighborOf argentina chile,neighborOf argentina bolivia,neighborOf bolivia argentina,neighborOf argentina chile,
neighborOf argentina brazil,neighborOf argentina brazil,
neighborOf argentina paraguay,neighborOf argentina chile,neighborOf chile bolivia,neighborOf bolivia paraguay,
neighborOf argentina uruguay,neighborOf argentina bolivia,neighborOf bolivia argentina,neighborOf argentina uruguay,
locatedIn serbia southern_europe,neighborOf serbia croatia,neighborOf croatia bosnia_and_herzegovina,locatedIn bosnia_and_herzegovina southern_europe,
neighborOf serbia macedonia,neighborOf serbia montenegro,neighborOf montenegro serbia,neighborOf serbia macedonia,
neighborOf serbia montenegro,neighborOf serbia croatia,neighborOf croatia bosnia_and_herzegovina,neighborOf bosnia_and_herzegovina montenegro,
neighborOf serbia kosovo,neighborOf serbia croatia,neighborOf croatia montenegro,neighborOf montenegro kosovo,
neighborOf serbia bosnia_and_herzegovina,neighborOf serbia montenegro,neighborOf montenegro serbia,neighborOf serbia bosnia_and_herzegovina,
neighborOf serbia croatia,neighborOf serbia croatia,
neighborOf serbia hungary,neighborOf serbia croatia,neighborOf croatia slovenia,neighborOf slovenia hungary,
neighborOf serbia bulgaria,neighborOf serbia montenegro,neighborOf montenegro serbia,neighborOf serbia bulgaria,
neighborOf serbia romania,neighborOf serbia montenegro,neighborOf montenegro serbia,neighborOf serbia romania,
locatedIn czechia eastern_europe,neighborOf czechia slovakia,neighborOf slovakia poland,locatedIn poland eastern_europe,
locatedIn czechia europe,neighborOf czechia poland,neighborOf poland lithuania,locatedIn lithuania europe,
neighborOf czechia germany,neighborOf czechia austria,neighborOf austria czechia,neighborOf czechia germany,
neighborOf czechia austria,neighborOf czechia austria,
neighborOf czechia poland,neighborOf czechia austria,neighborOf austria czechia,neighborOf czechia poland,
neighborOf czechia slovakia,neighborOf czechia austria,neighborOf austria czechia,neighborOf czechia slovakia,
locatedIn nicaragua central_america,neighborOf nicaragua costa_rica,neighborOf costa_rica nicaragua,locatedIn nicaragua central_america,
neighborOf nicaragua honduras,neighborOf nicaragua honduras,
neighborOf nicaragua costa_rica,neighborOf nicaragua costa_rica,
locatedIn vietnam south-eastern_asia,neighborOf vietnam cambodia,neighborOf cambodia thailand,locatedIn thailand south-eastern_asia,
locatedIn vietnam asia,neighborOf vietnam cambodia,neighborOf cambodia laos,locatedIn laos asia,
neighborOf vietnam cambodia,neighborOf vietnam cambodia,
neighborOf vietnam laos,neighborOf vietnam cambodia,neighborOf cambodia vietnam,neighborOf vietnam laos,
neighborOf vietnam china,neighborOf vietnam cambodia,neighborOf cambodia vietnam,neighborOf vietnam china,
locatedIn canada northern_america,neighborOf canada united_states,neighborOf united_states canada,locatedIn canada northern_america,
locatedIn canada americas,neighborOf canada united_states,neighborOf united_states canada,locatedIn canada americas,
neighborOf canada united_states,neighborOf canada united_states,
neighborOf slovakia ukraine,neighborOf slovakia ukraine,
neighborOf slovakia poland,neighborOf slovakia czechia,neighborOf czechia germany,neighborOf germany poland,
neighborOf slovakia austria,neighborOf slovakia austria,
neighborOf slovakia hungary,neighborOf slovakia hungary,
neighborOf slovakia czechia,neighborOf slovakia czechia,
locatedIn mozambique eastern_africa,neighborOf mozambique zimbabwe,neighborOf zimbabwe mozambique,locatedIn mozambique eastern_africa,
neighborOf mozambique tanzania,neighborOf mozambique south_africa,neighborOf south_africa mozambique,neighborOf mozambique tanzania,
neighborOf mozambique swaziland,neighborOf mozambique south_africa,neighborOf south_africa mozambique,neighborOf mozambique swaziland,
neighborOf mozambique zimbabwe,neighborOf mozambique south_africa,neighborOf south_africa mozambique,neighborOf mozambique zimbabwe,
neighborOf mozambique zambia,neighborOf mozambique south_africa,neighborOf south_africa mozambique,neighborOf mozambique zambia,
neighborOf mozambique malawi,neighborOf mozambique south_africa,neighborOf south_africa mozambique,neighborOf mozambique malawi,
neighborOf mozambique south_africa,neighborOf mozambique zimbabwe,neighborOf zimbabwe botswana,neighborOf botswana south_africa,
locatedIn bolivia south_america,neighborOf bolivia argentina,neighborOf argentina chile,locatedIn chile south_america,
locatedIn bolivia americas,neighborOf bolivia chile,neighborOf chile argentina,locatedIn argentina americas,
neighborOf bolivia chile,neighborOf bolivia chile,
neighborOf bolivia brazil,neighborOf bolivia brazil,
neighborOf bolivia paraguay,neighborOf bolivia chile,neighborOf chile bolivia,neighborOf bolivia paraguay,
neighborOf bolivia argentina,neighborOf bolivia peru,neighborOf peru chile,neighborOf chile argentina,
neighborOf bolivia peru,neighborOf bolivia peru,
locatedIn colombia south_america,neighborOf colombia brazil,neighborOf brazil argentina,locatedIn argentina south_america,
locatedIn colombia americas,neighborOf colombia brazil,neighborOf brazil argentina,locatedIn argentina americas,
neighborOf colombia ecuador,neighborOf colombia ecuador,
neighborOf colombia brazil,neighborOf colombia ecuador,neighborOf ecuador colombia,neighborOf colombia brazil,
neighborOf colombia panama,neighborOf colombia ecuador,neighborOf ecuador colombia,neighborOf colombia panama,
neighborOf colombia venezuela,neighborOf colombia ecuador,neighborOf ecuador colombia,neighborOf colombia venezuela,
neighborOf colombia peru,neighborOf colombia ecuador,neighborOf ecuador colombia,neighborOf colombia peru,
locatedIn republic_of_the_congo middle_africa,neighborOf republic_of_the_congo cameroon,neighborOf cameroon chad,locatedIn chad middle_africa,
neighborOf republic_of_the_congo gabon,neighborOf republic_of_the_congo cameroon,neighborOf cameroon equatorial_guinea,neighborOf equatorial_guinea gabon,
neighborOf republic_of_the_congo dr_congo,neighborOf republic_of_the_congo cameroon,neighborOf cameroon central_african_republic,neighborOf central_african_republic dr_congo,
neighborOf republic_of_the_congo angola,neighborOf republic_of_the_congo angola,
neighborOf republic_of_the_congo cameroon,neighborOf republic_of_the_congo cameroon,
neighborOf republic_of_the_congo central_african_republic,neighborOf republic_of_the_congo gabon,neighborOf gabon republic_of_the_congo,neighborOf republic_of_the_congo central_african_republic,
locatedIn saudi_arabia western_asia,neighborOf saudi_arabia iraq,neighborOf iraq jordan,locatedIn jordan western_asia,
neighborOf saudi_arabia qatar,neighborOf saudi_arabia iraq,neighborOf iraq saudi_arabia,neighborOf saudi_arabia qatar,
neighborOf saudi_arabia united_arab_emirates,neighborOf saudi_arabia iraq,neighborOf iraq saudi_arabia,neighborOf saudi_arabia united_arab_emirates,
neighborOf saudi_arabia jordan,neighborOf saudi_arabia iraq,neighborOf iraq syria,neighborOf syria jordan,
neighborOf saudi_arabia yemen,neighborOf saudi_arabia iraq,neighborOf iraq saudi_arabia,neighborOf saudi_arabia yemen,
neighborOf saudi_arabia oman,neighborOf saudi_arabia iraq,neighborOf iraq saudi_arabia,neighborOf saudi_arabia oman,
neighborOf saudi_arabia kuwait,neighborOf saudi_arabia jordan,neighborOf jordan iraq,neighborOf iraq kuwait,
neighborOf saudi_arabia iraq,neighborOf saudi_arabia iraq,
locatedIn el_salvador central_america,neighborOf el_salvador honduras,neighborOf honduras nicaragua,locatedIn nicaragua central_america,
locatedIn el_salvador americas,neighborOf el_salvador guatemala,neighborOf guatemala honduras,locatedIn honduras americas,
neighborOf el_salvador guatemala,neighborOf el_salvador guatemala,
neighborOf el_salvador honduras,neighborOf el_salvador honduras,
locatedIn namibia southern_africa,neighborOf namibia botswana,neighborOf botswana south_africa,locatedIn south_africa southern_africa,
locatedIn namibia africa,neighborOf namibia botswana,neighborOf botswana south_africa,locatedIn south_africa africa,
neighborOf namibia zambia,neighborOf namibia south_africa,neighborOf south_africa mozambique,neighborOf mozambique zambia,
neighborOf namibia angola,neighborOf namibia zambia,neighborOf zambia dr_congo,neighborOf dr_congo angola,
neighborOf namibia south_africa,neighborOf namibia south_africa,
neighborOf namibia botswana,neighborOf namibia botswana,
locatedIn guyana south_america,neighborOf guyana venezuela,neighborOf venezuela brazil,locatedIn brazil south_america,
neighborOf guyana brazil,neighborOf guyana suriname,neighborOf suriname french_guiana,neighborOf french_guiana brazil,
neighborOf guyana suriname,neighborOf guyana suriname,
neighborOf guyana venezuela,neighborOf guyana venezuela,
locatedIn vatican_city southern_europe,neighborOf vatican_city italy,neighborOf italy vatican_city,locatedIn vatican_city southern_europe,
locatedIn vatican_city europe,neighborOf vatican_city italy,neighborOf italy france,locatedIn france europe,
neighborOf vatican_city italy,neighborOf vatican_city italy,
locatedIn nigeria western_africa,neighborOf nigeria benin,neighborOf benin nigeria,locatedIn nigeria western_africa,
locatedIn nigeria africa,neighborOf nigeria chad,neighborOf chad south_sudan,locatedIn south_sudan africa,
neighborOf nigeria chad,neighborOf nigeria benin,neighborOf benin nigeria,neighborOf nigeria chad,
neighborOf nigeria niger,neighborOf nigeria benin,neighborOf benin burkina_faso,neighborOf burkina_faso niger,
neighborOf nigeria cameroon,neighborOf nigeria cameroon,
neighborOf nigeria benin,neighborOf nigeria benin,
locatedIn germany western_europe,neighborOf germany belgium,neighborOf belgium germany,locatedIn germany western_europe,
neighborOf germany denmark,neighborOf germany belgium,neighborOf belgium germany,neighborOf germany denmark,
neighborOf germany netherlands,neighborOf germany belgium,neighborOf belgium germany,neighborOf germany netherlands,
neighborOf germany poland,neighborOf germany belgium,neighborOf belgium germany,neighborOf germany poland,
neighborOf germany luxembourg,neighborOf germany luxembourg,
neighborOf germany belgium,neighborOf germany luxembourg,neighborOf luxembourg germany,neighborOf germany belgium,
neighborOf germany switzerland,neighborOf germany luxembourg,neighborOf luxembourg germany,neighborOf germany switzerland,
neighborOf germany austria,neighborOf germany luxembourg,neighborOf luxembourg germany,neighborOf germany austria,
neighborOf germany france,neighborOf germany luxembourg,neighborOf luxembourg germany,neighborOf germany france,
neighborOf germany czechia,neighborOf germany luxembourg,neighborOf luxembourg germany,neighborOf germany czechia,
locatedIn burkina_faso western_africa,neighborOf burkina_faso ivory_coast,neighborOf ivory_coast liberia,locatedIn liberia western_africa,
neighborOf burkina_faso togo,neighborOf burkina_faso niger,neighborOf niger burkina_faso,neighborOf burkina_faso togo,
neighborOf burkina_faso benin,neighborOf burkina_faso niger,neighborOf niger burkina_faso,neighborOf burkina_faso benin,
neighborOf burkina_faso niger,neighborOf burkina_faso niger,
neighborOf burkina_faso ghana,neighborOf burkina_faso niger,neighborOf niger burkina_faso,neighborOf burkina_faso ghana,
neighborOf burkina_faso mali,neighborOf burkina_faso niger,neighborOf niger burkina_faso,neighborOf burkina_faso mali,
neighborOf burkina_faso ivory_coast,neighborOf burkina_faso niger,neighborOf niger burkina_faso,neighborOf burkina_faso ivory_coast,
locatedIn tanzania eastern_africa,neighborOf tanzania kenya,neighborOf kenya uganda,locatedIn uganda eastern_africa,
neighborOf tanzania uganda,neighborOf tanzania kenya,neighborOf kenya tanzania,neighborOf tanzania uganda,
neighborOf tanzania mozambique,neighborOf tanzania kenya,neighborOf kenya tanzania,neighborOf tanzania mozambique,
neighborOf tanzania dr_congo,neighborOf tanzania malawi,neighborOf malawi tanzania,neighborOf tanzania dr_congo,
neighborOf tanzania kenya,neighborOf tanzania malawi,neighborOf malawi tanzania,neighborOf tanzania kenya,
neighborOf tanzania rwanda,neighborOf tanzania malawi,neighborOf malawi tanzania,neighborOf tanzania rwanda,
neighborOf tanzania zambia,neighborOf tanzania malawi,neighborOf malawi mozambique,neighborOf mozambique zambia,
neighborOf tanzania malawi,neighborOf tanzania malawi,
neighborOf tanzania burundi,neighborOf tanzania malawi,neighborOf malawi tanzania,neighborOf tanzania burundi,
locatedIn belize central_america,neighborOf belize guatemala,neighborOf guatemala belize,locatedIn belize central_america,
locatedIn belize americas,neighborOf belize guatemala,neighborOf guatemala belize,locatedIn belize americas,
neighborOf belize guatemala,neighborOf belize guatemala,
neighborOf belize mexico,neighborOf belize guatemala,neighborOf guatemala belize,neighborOf belize mexico,
locatedIn norway northern_europe,neighborOf norway sweden,neighborOf sweden finland,locatedIn finland northern_europe,
neighborOf norway sweden,neighborOf norway sweden,
neighborOf norway finland,neighborOf norway finland,
neighborOf norway russia,neighborOf norway russia,
locatedIn laos south-eastern_asia,neighborOf laos vietnam,neighborOf vietnam laos,locatedIn laos south-eastern_asia,
locatedIn laos asia,neighborOf laos vietnam,neighborOf vietnam laos,locatedIn laos asia,
neighborOf laos china,neighborOf laos vietnam,neighborOf vietnam laos,neighborOf laos china,
neighborOf laos cambodia,neighborOf laos vietnam,neighborOf vietnam laos,neighborOf laos cambodia,
neighborOf laos myanmar,neighborOf laos vietnam,neighborOf vietnam china,neighborOf china myanmar,
neighborOf laos vietnam,neighborOf laos vietnam,
neighborOf laos thailand,neighborOf laos vietnam,neighborOf vietnam laos,neighborOf laos thailand,
locatedIn western_sahara northern_africa,neighborOf western_sahara algeria,neighborOf algeria morocco,locatedIn morocco northern_africa,
locatedIn western_sahara africa,neighborOf western_sahara mauritania,neighborOf mauritania senegal,locatedIn senegal africa,
neighborOf western_sahara algeria,neighborOf western_sahara algeria,
neighborOf western_sahara mauritania,neighborOf western_sahara mauritania,
neighborOf western_sahara morocco,neighborOf western_sahara mauritania,neighborOf mauritania western_sahara,neighborOf western_sahara morocco,
locatedIn suriname south_america,neighborOf suriname french_guiana,neighborOf french_guiana brazil,locatedIn brazil south_america,
locatedIn suriname americas,neighborOf suriname brazil,neighborOf brazil colombia,locatedIn colombia americas,
neighborOf suriname brazil,neighborOf suriname brazil,
neighborOf suriname french_guiana,neighborOf suriname french_guiana,
neighborOf suriname guyana,neighborOf suriname brazil,neighborOf brazil suriname,neighborOf suriname guyana,
locatedIn egypt northern_africa,neighborOf egypt libya,neighborOf libya algeria,locatedIn algeria northern_africa,
neighborOf egypt libya,neighborOf egypt libya,
neighborOf egypt israel,neighborOf egypt israel,
neighborOf egypt sudan,neighborOf egypt sudan,
locatedIn bulgaria eastern_europe,neighborOf bulgaria macedonia,neighborOf macedonia kosovo,locatedIn kosovo eastern_europe,
neighborOf bulgaria macedonia,neighborOf bulgaria macedonia,
neighborOf bulgaria turkey,neighborOf bulgaria turkey,
neighborOf bulgaria greece,neighborOf bulgaria romania,neighborOf romania bulgaria,neighborOf bulgaria greece,
neighborOf bulgaria serbia,neighborOf bulgaria romania,neighborOf romania bulgaria,neighborOf bulgaria serbia,
neighborOf bulgaria romania,neighborOf bulgaria romania,
locatedIn guinea western_africa,neighborOf guinea liberia,neighborOf liberia sierra_leone,locatedIn sierra_leone western_africa,
locatedIn guinea africa,neighborOf guinea mali,neighborOf mali algeria,locatedIn algeria africa,
neighborOf guinea guinea-bissau,neighborOf guinea liberia,neighborOf liberia guinea,neighborOf guinea guinea-bissau,
neighborOf guinea sierra_leone,neighborOf guinea ivory_coast,neighborOf ivory_coast liberia,neighborOf liberia sierra_leone,
neighborOf guinea mali,neighborOf guinea ivory_coast,neighborOf ivory_coast burkina_faso,neighborOf burkina_faso mali,
neighborOf guinea liberia,neighborOf guinea liberia,
neighborOf guinea senegal,neighborOf guinea mali,neighborOf mali mauritania,neighborOf mauritania senegal,
neighborOf guinea ivory_coast,neighborOf guinea ivory_coast,
locatedIn spain southern_europe,neighborOf spain gibraltar,neighborOf gibraltar spain,locatedIn spain southern_europe,
neighborOf spain morocco,neighborOf spain gibraltar,neighborOf gibraltar spain,neighborOf spain morocco,
neighborOf spain gibraltar,neighborOf spain gibraltar,
neighborOf spain andorra,neighborOf spain gibraltar,neighborOf gibraltar spain,neighborOf spain andorra,
neighborOf spain france,neighborOf spain france,
neighborOf spain portugal,neighborOf spain gibraltar,neighborOf gibraltar spain,neighborOf spain portugal,
locatedIn costa_rica central_america,neighborOf costa_rica nicaragua,neighborOf nicaragua costa_rica,locatedIn costa_rica central_america,
locatedIn costa_rica americas,neighborOf costa_rica panama,neighborOf panama costa_rica,locatedIn costa_rica americas,
neighborOf costa_rica panama,neighborOf costa_rica panama,
neighborOf costa_rica nicaragua,neighborOf costa_rica panama,neighborOf panama costa_rica,neighborOf costa_rica nicaragua,
locatedIn portugal southern_europe,neighborOf portugal spain,neighborOf spain portugal,locatedIn portugal southern_europe,
locatedIn portugal europe,neighborOf portugal spain,neighborOf spain portugal,locatedIn portugal europe,
neighborOf portugal spain,neighborOf portugal spain,
locatedIn romania eastern_europe,neighborOf romania ukraine,neighborOf ukraine belarus,locatedIn belarus eastern_europe,
locatedIn romania europe,neighborOf romania bulgaria,neighborOf bulgaria greece,locatedIn greece europe,
neighborOf romania ukraine,neighborOf romania ukraine,
neighborOf romania hungary,neighborOf romania moldova,neighborOf moldova romania,neighborOf romania hungary,
neighborOf romania moldova,neighborOf romania moldova,
neighborOf romania bulgaria,neighborOf romania moldova,neighborOf moldova romania,neighborOf romania bulgaria,
neighborOf romania serbia,neighborOf romania moldova,neighborOf moldova romania,neighborOf romania serbia,
locatedIn san_marino southern_europe,neighborOf san_marino italy,neighborOf italy san_marino,locatedIn san_marino southern_europe,
locatedIn san_marino europe,neighborOf san_marino italy,neighborOf italy switzerland,locatedIn switzerland europe,
neighborOf san_marino italy,neighborOf san_marino italy,
locatedIn mauritania western_africa,neighborOf mauritania mali,neighborOf mali senegal,locatedIn senegal western_africa,
locatedIn mauritania africa,neighborOf mauritania mali,neighborOf mali senegal,locatedIn senegal africa,
neighborOf mauritania algeria,neighborOf mauritania western_sahara,neighborOf western_sahara morocco,neighborOf morocco algeria,
neighborOf mauritania mali,neighborOf mauritania mali,
neighborOf mauritania western_sahara,neighborOf mauritania mali,neighborOf mali mauritania,neighborOf mauritania western_sahara,
neighborOf mauritania senegal,neighborOf mauritania mali,neighborOf mali mauritania,neighborOf mauritania senegal,
locatedIn myanmar south-eastern_asia,neighborOf myanmar laos,neighborOf laos myanmar,locatedIn myanmar south-eastern_asia,
neighborOf myanmar india,neighborOf myanmar india,
neighborOf myanmar bangladesh,neighborOf myanmar china,neighborOf china india,neighborOf india bangladesh,
neighborOf myanmar china,neighborOf myanmar india,neighborOf india nepal,neighborOf nepal china,
neighborOf myanmar laos,neighborOf myanmar thailand,neighborOf thailand myanmar,neighborOf myanmar laos,
neighborOf myanmar thailand,neighborOf myanmar thailand,
locatedIn iraq western_asia,neighborOf iraq saudi_arabia,neighborOf saudi_arabia jordan,locatedIn jordan western_asia,
neighborOf iraq turkey,neighborOf iraq jordan,neighborOf jordan syria,neighborOf syria turkey,
neighborOf iraq saudi_arabia,neighborOf iraq saudi_arabia,
neighborOf iraq iran,neighborOf iraq jordan,neighborOf jordan iraq,neighborOf iraq iran,
